target,text,indices,label
table,"if you can handle that , it ' s a great place for a business dinner , fun with friends or simply a $t$ for 2 .",23,1
decor,$t$ leaves something to be desired .,0,-1
food,"also , specify if you like your $t$ spicy - its rather bland if you don ' t .",7,0
waiter,"our $t$ was fine , the place looks nice in that not - trying - too - hard way , but at those prices , a little more should be expected of your food .",1,1
place,"our waiter was fine , the $t$ looks nice in that not - trying - too - hard way , but at those prices , a little more should be expected of your food .",6,1
prices,"our waiter was fine , the place looks nice in that not - trying - too - hard way , but at those $t$ , a little more should be expected of your food .",23,-1
food,"our waiter was fine , the place looks nice in that not - trying - too - hard way , but at those prices , a little more should be expected of your $t$ .",33,-1
toppings,coming from boston this place is like emma ' s pizza in kendall square in cambridge ( although they have more funky $t$ ! ),22,1
lobster tails,"when my husband and go there , we spend $60 . 00 ( have $t$ ummmmm need i say more ) i can ' t say any more , it a place you ' ll never forget if you never go , you ' ll miss a meal of your life time",14,1
place,"when my husband and go there , we spend $60 . 00 ( have lobster tails ummmmm need i say more ) i can ' t say any more , it a $t$ you ' ll never forget if you never go , you ' ll miss a meal of your life time",32,1
meal,"when my husband and go there , we spend $60 . 00 ( have lobster tails ummmmm need i say more ) i can ' t say any more , it a place you ' ll never forget if you never go , you ' ll miss a $t$ of your life time",48,1
desserts,"in an effort to increase turnover , the restaurant offers no $t$ beyond the complimentary espresso cup filled with chocolate mousse .",11,-1
espresso cup filled with chocolate mousse,"in an effort to increase turnover , the restaurant offers no desserts beyond the complimentary $t$ .",15,1
pho,"i ' ve been to this restaurant more than a dozen times and when i ' m craving for $t$ , lemon grass chicken or beef cube on rice , this is the place to go .",19,1
lemon grass chicken,"i ' ve been to this restaurant more than a dozen times and when i ' m craving for pho , $t$ or beef cube on rice , this is the place to go .",21,1
beef cube on rice,"i ' ve been to this restaurant more than a dozen times and when i ' m craving for pho , lemon grass chicken or $t$ , this is the place to go .",25,1
portraits,"oh yes , and if you are a fan of indian oldies film stars , there are plenty of $t$ of indian actors and actresses in classic black white that adorn the walls , some of which , i would love to know where they obtained .",19,1
food,"the $t$ is spectacular , from the appitizers to the main course , and then of course the desserts , ( wow ) you ' ll need no more .",1,1
appitizers,"the food is spectacular , from the $t$ to the main course , and then of course the desserts , ( wow ) you ' ll need no more .",7,1
main course,"the food is spectacular , from the appitizers to the $t$ , and then of course the desserts , ( wow ) you ' ll need no more .",10,1
desserts,"the food is spectacular , from the appitizers to the main course , and then of course the $t$ , ( wow ) you ' ll need no more .",18,1
fish,my $t$ was delicious in an incredible curry sauce .,1,1
curry sauce,my fish was delicious in an incredible $t$ .,7,1
deli,if you are in search of the most authentic nyc $t$ experience look no further than the famous and historic katz ' s deli down on the lower east side .,10,1
pork buns,"even upon delivery , their juicy $t$ are quite good . .",6,1
thai food,"average to good $t$ , but terrible delivery .",3,1
delivery,"average to good thai food , but terrible $t$ .",8,-1
space,the $t$ is nice but when we order our drink we were in for a surprise .,1,1
drink,the space is nice but when we order our $t$ we were in for a surprise .,9,-1
place,the entire $t$ and the treatment we received felt as a conveyor belt .,2,-1
slice,joe ' s pizza used to have the best $t$ until this pizzeria opened up .,9,1
dessert,and they provided a delicious $t$ on the house !,5,1
reservation,"they are still living in the dark ages and do not have an answering machine , so if you want to make a $t$ you are limited .",23,-1
food,"the $t$ is amazing , rich pastas and fresh doughy pizza .",1,1
pastas,"the food is amazing , rich $t$ and fresh doughy pizza .",6,1
pizza,"the food is amazing , rich pastas and fresh doughy $t$ .",10,1
food,"$t$ was very good , but not what i would consider out of this world .",0,1
lobster bisque,i had $t$ it has 2 oz . of maine lobster in it .,2,1
maine lobster,i had lobster bisque it has 2 oz . of $t$ in it .,10,1
pad thai,"try the $t$ , it ' s fabulous and their prices are so cheap !",2,1
prices,"try the pad thai , it ' s fabulous and their $t$ are so cheap !",11,1
food,$t$ is great and inexpensive .,0,1
price,the $t$ very reasonable .,1,1
dessert,"$t$ - can ' t be missed , so save room ! ! !",0,1
food,"it can be a little confusing as to where one goes to order , but once the $t$ is ordered , you are in for a treat .",17,1
ingredients,$t$ are organic which is a real plus for me .,0,1
food,it was so bad i actually refused to pay for my $t$ .,11,-1
cuisine,i recommend this spot to anyone who enjoys fine $t$ at reasonable prices .,9,1
prices,i recommend this spot to anyone who enjoys fine cuisine at reasonable $t$ .,12,1
staff,"the $t$ was very attentive , the ambience lovely , and the food superb .",1,1
ambience,"the staff was very attentive , the $t$ lovely , and the food superb .",7,1
food,"the staff was very attentive , the ambience lovely , and the $t$ superb .",12,1
ingrediants,"i love when restaurants think using fancy expensive $t$ makes the food fine cuisine , even with no idea how to use them .",8,1
food,"i love when restaurants think using fancy expensive ingrediants makes the $t$ fine cuisine , even with no idea how to use them .",11,1
cuisine,"i love when restaurants think using fancy expensive ingrediants makes the food fine $t$ , even with no idea how to use them .",13,1
pizza,the $t$ and wine were excellent - the service too - - but what really made this place was the backyard dining area .,1,1
wine,the pizza and $t$ were excellent - the service too - - but what really made this place was the backyard dining area .,3,1
service,the pizza and wine were excellent - the $t$ too - - but what really made this place was the backyard dining area .,8,1
backyard dining area,the pizza and wine were excellent - the service too - - but what really made this place was the $t$ .,20,1
waiters,"the $t$ are sweet , the food is tasty and the bill is never too large .",1,1
food,"the waiters are sweet , the $t$ is tasty and the bill is never too large .",6,1
bill,"the waiters are sweet , the food is tasty and the $t$ is never too large .",11,1
service,"the $t$ was superb , they treat you like family .",1,1
menu,"we all had the tasting $t$ and unlike some of the other reviews , i felt there was more than enough food .",5,1
food,"we all had the tasting menu and unlike some of the other reviews , i felt there was more than enough $t$ .",21,1
table,"it only took about five or so minutes to get an empty $t$ , but standing up wasn ' t too bad .",12,1
menu,"the $t$ may be small , but everything on it is delicious .",1,-1
rice,they had scrapped the bottom of the vessel in which they make the $t$ - result - we had large chunks of burnt rice in our serving bowl .,13,-1
rice,they had scrapped the bottom of the vessel in which they make the rice - result - we had large chunks of burnt $t$ in our serving bowl .,23,-1
surroundings,"warm , comfortable $t$ , nice appointments ( witness the etched glass and brickwork separating the dining rooms ) .",3,1
dining rooms,"warm , comfortable surroundings , nice appointments ( witness the etched glass and brickwork separating the $t$ ) .",16,0
reservation,we ran a little late for the $t$ but it wasn ' t a problem to get our table immediately .,7,0
table,we ran a little late for the reservation but it wasn ' t a problem to get our $t$ immediately .,18,1
reservation,we arrived on time for our $t$ and seated promptly . the,6,1
dining,"i would definitely go back for a very special occasion , but not for regular fine $t$ .",16,0
staff,"the well mannered , pleasant $t$ that tony has in his employ .",5,1
flavors,the $t$ robust and subtle .,1,1
oysters,"all i can say is $2 pints during happy hour and the some of the cheapest $t$ you ' ll find in the city , though the quality is some of the best .",16,1
quality,"all i can say is $2 pints during happy hour and the some of the cheapest oysters you ' ll find in the city , though the $t$ is some of the best .",27,1
table,"i would never wait for a $t$ to eat , it just is not that great .",6,0
tiramisu chocolate cake,"we concluded with $t$ , both were delicious .",3,1
counter service,the $t$ is bad .,1,-1
service,"$t$ here was great , food was fantastic .",0,1
food,"service here was great , $t$ was fantastic .",5,1
place,"this is such a lovely , peaceful $t$ to eat outside .",7,1
sauce,the $t$ is delicious and the crust is perfect .,1,1
crust,the sauce is delicious and the $t$ is perfect .,6,1
dinner,since my first $t$ i have had the chance to have brunch at orsay 3x .,3,0
brunch,since my first dinner i have had the chance to have $t$ at orsay 3x .,11,0
decore,"you will pay a lot for the $t$ , but the food is no better or worse than a lot of other chinese and asian fusion places in ny .",7,-1
food,"you will pay a lot for the decore , but the $t$ is no better or worse than a lot of other chinese and asian fusion places in ny .",11,0
entrees,they have some great $t$ here as well .,4,1
service,the $t$ is not consistently excellent - - just decent .,1,0
food,"the $t$ , served in small tasting portions ( as an option ) is very good with each dish being better than the next .",1,1
served,"the food , $t$ in small tasting portions ( as an option ) is very good with each dish being better than the next .",3,0
portions,"the food , served in small tasting $t$ ( as an option ) is very good with each dish being better than the next .",7,1
dish,"the food , served in small tasting portions ( as an option ) is very good with each $t$ being better than the next .",18,1
cater,"they do $t$ to american palates , but if you like it hot let them know and they are more than willing to oblige !",2,1
mango chicken,i had the $t$ and i can ' t go on to tell you how delicious that was and the presentation was beatiful .,3,1
presentation,i had the mango chicken and i can ' t go on to tell you how delicious that was and the $t$ was beatiful .,21,1
food,i care more about the $t$ and ambience .,5,0
ambience,i care more about the food and $t$ .,7,0
drinks,"oh , but wait , we were out of $t$ ( which were also delightfully overpriced ) .",9,-1
service,the $t$ is fantastic .,1,1
garlic mashed potatoes,the $t$ are hands down the best in the city !,1,1
food,$t$ and service was okay .,0,0
service,food and $t$ was okay .,2,0
lamb meat,the $t$ was under - cooked and extrmely chewy .,1,-1
pad thai,the best $t$ i ' ve ever had .,2,1
food quality,"over time , the $t$ has decreased substantially , it is a lot less crowded than it used to , and the service must definitely be part of the reason .",4,-1
service,"over time , the food quality has decreased substantially , it is a lot less crowded than it used to , and the $t$ must definitely be part of the reason .",23,-1
pizza,great $t$ and fantastic service .,1,1
service,great pizza and fantastic $t$ .,4,1
outside,we were seated $t$ and the waiter spilled red wine and hot tea on myself and my date .,3,0
waiter,we were seated outside and the $t$ spilled red wine and hot tea on myself and my date .,6,-1
red wine,we were seated outside and the waiter spilled $t$ and hot tea on myself and my date .,8,0
hot tea,we were seated outside and the waiter spilled red wine and $t$ on myself and my date .,11,0
oil,i would just ask for no $t$ next time .,6,-1
place,"while this is a pretty $t$ in that overly cute french way , the food was insultingly horrible .",5,1
food,"while this is a pretty place in that overly cute french way , the $t$ was insultingly horrible .",14,-1
lunch,i went there for $t$ and it was not as good as i expected from the reviews i read .,4,0
wine list,"the $t$ isn ' t great , and the desserts are shipped in from bruno ' s down the street , which is not as good as it used to be .",1,-1
desserts,"the wine list isn ' t great , and the $t$ are shipped in from bruno ' s down the street , which is not as good as it used to be .",10,-1
lassi,i ordered a $t$ and asked 4 times for it but never got it .,3,0
coffee,their $t$ is quite good too !,1,1
wine list,"great $t$ ( italian ) , good food , service was initially fine .",1,1
food,"great wine list ( italian ) , good $t$ , service was initially fine .",8,1
space,"despite the fact that the $t$ is large , they ' ve overcrowded the floor with tables .",5,1
tables,"despite the fact that the space is large , they ' ve overcrowded the floor with $t$ .",16,-1
place,"they are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this $t$ , but also become hostile !",31,-1
dish,i had to ask her three times before she finally came back with the $t$ ive requested .,14,0
host,"normally that would be improper , however they were all delicious and my $t$ did not complain .",13,0
taxan,$t$ delicious !,0,1
sandwiches,"unlike other places in nyc where the $t$ you want only come as a triple - decker , here you can get what you want in a reasonably - sized portion ( and price ) .",7,-1
portion,"unlike other places in nyc where the sandwiches you want only come as a triple - decker , here you can get what you want in a reasonably - sized $t$ ( and price ) .",30,1
price,"unlike other places in nyc where the sandwiches you want only come as a triple - decker , here you can get what you want in a reasonably - sized portion ( and $t$ ) .",33,1
southern indian cuisine,"$t$ is still there , too .",0,0
place,"restaurant snobs need not bother , this is a small , neighborhood kind of $t$ .",14,1
salad,they couldn ' t even make a $t$ that was appealing .,7,-1
tip,for two people with $t$ was less than $25 bucks .,4,0
sushi,killer $t$ !,1,1
food,of course the reason its so packed is because the $t$ is so delicious !,10,1
staffs,"$t$ are not that friendly , but the taste covers all .",0,-1
taste,"staffs are not that friendly , but the $t$ covers all .",8,1
jukebox,the $t$ plays everything from italian opera to the strokes .,1,1
martini,plus they made a perfect $t$ .,5,1
food,i am not sure if i would call the $t$ here indian as it is a fusion of what seems to be french with an indian or exotic touch .,9,0
cuisine,"i ' ve eaten thai many times , and am very familiar with the $t$ .",14,0
waiter,the $t$ was attentive .,1,1
margarita,their $t$ is best i ' ve had since i ' ve returned from naples !,1,1
tastes,the $t$ makes your mouth water for more .,1,1
sake list,"their $t$ was extensive , but we were looking for purple haze , which wasn ' t listed but made for us upon request !",1,1
tables,"the $t$ are crammed way too close , the menu is typical of any italian restaurant , and the wine list is simply overpriced .",1,-1
menu,"the tables are crammed way too close , the $t$ is typical of any italian restaurant , and the wine list is simply overpriced .",9,0
wine list,"the tables are crammed way too close , the menu is typical of any italian restaurant , and the $t$ is simply overpriced .",19,-1
food,the $t$ was actually aweful .,1,-1
served,they are $t$ with a free appetizer and the portions are perfect for lunch .,2,0
appetizer,they are served with a free $t$ and the portions are perfect for lunch .,6,1
portions,they are served with a free appetizer and the $t$ are perfect for lunch .,9,1
lunch,they are served with a free appetizer and the portions are perfect for $t$ .,13,0
space,there is actually $t$ to breathe and the decor sets the tone for an intimate dinner .,3,1
decor,there is actually space to breathe and the $t$ sets the tone for an intimate dinner .,8,1
dinner,there is actually space to breathe and the decor sets the tone for an intimate $t$ .,15,0
service,we went around 9 : 30 on a friday and it had died down a bit by then so the $t$ was great !,20,1
steak,"my husband and i both ordered the $t$ , medium .",7,0
rice,"furthermore , the $t$ had no seasoning , so the sushi was bland and disgusting .",3,-1
seasoning,"furthermore , the rice had no $t$ , so the sushi was bland and disgusting .",6,-1
sushi,"furthermore , the rice had no seasoning , so the $t$ was bland and disgusting .",10,-1
sushi,this place has realy fresh $t$ and a nice large menu of japanese classic cuisine .,5,1
menu,this place has realy fresh sushi and a nice large $t$ of japanese classic cuisine .,10,1
japanese classic cuisine,this place has realy fresh sushi and a nice large menu of $t$ .,12,1
sushi,the $t$ is average and the prices are anything but .,1,0
prices,the sushi is average and the $t$ are anything but .,6,0
spinach,"my wife and i also enjoyed the $t$ , the shanghai low mein , and other attractions .",7,1
shanghai low mein,"my wife and i also enjoyed the spinach , the $t$ , and other attractions .",10,1
owner,$t$ must have coem on this website to give himself credit .,0,0
service,turned out there was full $t$ upstairs and sat down .,5,1
dim sum orders,several of the $t$ had about 6 - 8 pieces .,3,0
dumpling,if you have a $t$ fetish i suggest you try some here !,4,1
wine menu,"three page $t$ , one page entree and horedevous .",2,1
entree,"three page wine menu , one page $t$ and horedevous .",7,1
horedevous,"three page wine menu , one page entree and $t$ .",9,1
food,"the $t$ is consistently wonderful - i ' ve been coming here for years , and the owner has always been accomodating and friendly .",1,1
owner,"the food is consistently wonderful - i ' ve been coming here for years , and the $t$ has always been accomodating and friendly .",17,1
waiters,the $t$ and owners were nonchalant about this and promised to call the exterminator but weren ' t as dismayed or apologetic as i would have expected .,1,-1
owners,the waiters and $t$ were nonchalant about this and promised to call the exterminator but weren ' t as dismayed or apologetic as i would have expected .,3,-1
food,and the $t$ was fantastic .,2,1
drink,"if you ' re looking for a place to sit down , have a $t$ and conversations with friends , go to sweet - n - tart and order yourself a hong - kong styled milk and tea with tapioca pearls ( hot ) .",14,0
kong styled milk,"if you ' re looking for a place to sit down , have a drink and conversations with friends , go to sweet - n - tart and order yourself a hong - $t$ and tea with tapioca pearls ( hot ) .",33,1
tea with tapioca pearls ( hot,"if you ' re looking for a place to sit down , have a drink and conversations with friends , go to sweet - n - tart and order yourself a hong - kong styled milk and $t$ ) .",37,1
sea urchin,"aside from the $t$ , the chef recommended an assortment of fish including fatty yellow tail , boton shrimp , blue fin torro ( fatty tuna ) , sea eel , etc .",3,0
chef,"aside from the sea urchin , the $t$ recommended an assortment of fish including fatty yellow tail , boton shrimp , blue fin torro ( fatty tuna ) , sea eel , etc .",7,0
assortment of fish,"aside from the sea urchin , the chef recommended an $t$ including fatty yellow tail , boton shrimp , blue fin torro ( fatty tuna ) , sea eel , etc .",10,0
fatty yellow tail,"aside from the sea urchin , the chef recommended an assortment of fish including $t$ , boton shrimp , blue fin torro ( fatty tuna ) , sea eel , etc .",14,0
boton shrimp,"aside from the sea urchin , the chef recommended an assortment of fish including fatty yellow tail , $t$ , blue fin torro ( fatty tuna ) , sea eel , etc .",18,0
blue fin torro ( fatty tuna,"aside from the sea urchin , the chef recommended an assortment of fish including fatty yellow tail , boton shrimp , $t$ ) , sea eel , etc .",21,0
sea eel,"aside from the sea urchin , the chef recommended an assortment of fish including fatty yellow tail , boton shrimp , blue fin torro ( fatty tuna ) , $t$ , etc .",29,0
owner,"they ' re also friendlier here , especially the $t$ , kenny .",9,1
room,"while the $t$ is not particularly comfortable , once you ' re seated you ' ll forget about everything except what ' s on your plate .",2,-1
plate,"while the room is not particularly comfortable , once you ' re seated you ' ll forget about everything except what ' s on your $t$ .",25,1
waterbugs,i ' ve lived in nyc all my life and had never before seen so many $t$ in one place ( except in a really bad dream ) .,16,-1
staff,winnie and her $t$ are the best crew you can find serving you .,3,1
crew,winnie and her staff are the best $t$ you can find serving you .,7,1
serving,winnie and her staff are the best crew you can find $t$ you .,11,1
ambiance,"the $t$ is minimal the food is not phenomenal , but some dishes are quite good , such as the eggplant parmesan , veal in carozza chicken saltimbocca .",1,1
food,"the ambiance is minimal the $t$ is not phenomenal , but some dishes are quite good , such as the eggplant parmesan , veal in carozza chicken saltimbocca .",5,-1
dishes,"the ambiance is minimal the food is not phenomenal , but some $t$ are quite good , such as the eggplant parmesan , veal in carozza chicken saltimbocca .",12,1
eggplant parmesan,"the ambiance is minimal the food is not phenomenal , but some dishes are quite good , such as the $t$ , veal in carozza chicken saltimbocca .",20,1
veal in carozza chicken saltimbocca,"the ambiance is minimal the food is not phenomenal , but some dishes are quite good , such as the eggplant parmesan , $t$ .",23,1
host,"my $t$ asked for appetizers for the group and the waiter gave us not only what we ordered , but some other items that were not ordered .",1,0
appetizers,"my host asked for $t$ for the group and the waiter gave us not only what we ordered , but some other items that were not ordered .",4,0
waiter,"my host asked for appetizers for the group and the $t$ gave us not only what we ordered , but some other items that were not ordered .",10,0
chutneys,you can even get packages of the $t$ to stock your fridge !,7,1
bar,the $t$ has various selections and the mixed drink special is a catcher ! 2 for 1 ' s .,1,1
mixed drink special,the bar has various selections and the $t$ is a catcher ! 2 for 1 ' s .,7,1
food,"if it isn ' t for the $t$ ( a+++ ) , it must be the service or the ambience .",7,1
service,"if it isn ' t for the food ( a+++ ) , it must be the $t$ or the ambience .",16,1
ambience,"if it isn ' t for the food ( a+++ ) , it must be the service or the $t$ .",19,1
chef,"during the course of the past 3 months , the $t$ and staff changed and it was not for the better .",10,-1
staff,"during the course of the past 3 months , the chef and $t$ changed and it was not for the better .",12,-1
ambience,"i like the $t$ , it ' s very dark and original .",3,1
money,"overall , not worth the $t$ .",5,-1
prices,this place is not worth the $t$ .,6,-1
drink,we left after one $t$ .,4,0
bagels,pick a bagel has the best $t$ in the city .,6,1
wait,yes you have to $t$ to be seated and because its small there is no waiting area and the seat at the bar was all taken .,4,-1
waiting area,yes you have to wait to be seated and because its small there is no $t$ and the seat at the bar was all taken .,15,-1
seat,yes you have to wait to be seated and because its small there is no waiting area and the $t$ at the bar was all taken .,19,-1
bar,yes you have to wait to be seated and because its small there is no waiting area and the seat at the $t$ was all taken .,22,0
food,"the last two times i ordered from here my $t$ was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .",9,-1
spice,"the last two times i ordered from here my food was soo spicy that i could barely eat it , and the $t$ took away from the flavor of the dish .",22,-1
flavor,"the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the $t$ of the dish .",27,-1
dish,"the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the $t$ .",30,-1
fried dumplings,the $t$ are great !,1,1
bbq ribs,this place has the best chinese style $t$ in the city .,7,1
waiters,ive been here so many times the $t$ know my name .,7,0
argentinian pizza,"we figured we never had $t$ before so we grabbed our lunch there , sharing a large pelligrino , a pizza of two of their specials , one was goat cheese the other blue cheese , and both were excellent .",5,0
lunch,"we figured we never had argentinian pizza before so we grabbed our $t$ there , sharing a large pelligrino , a pizza of two of their specials , one was goat cheese the other blue cheese , and both were excellent .",12,0
pelligrino,"we figured we never had argentinian pizza before so we grabbed our lunch there , sharing a large $t$ , a pizza of two of their specials , one was goat cheese the other blue cheese , and both were excellent .",18,1
pizza,"we figured we never had argentinian pizza before so we grabbed our lunch there , sharing a large pelligrino , a $t$ of two of their specials , one was goat cheese the other blue cheese , and both were excellent .",21,1
goat cheese,"we figured we never had argentinian pizza before so we grabbed our lunch there , sharing a large pelligrino , a pizza of two of their specials , one was $t$ the other blue cheese , and both were excellent .",30,1
blue cheese,"we figured we never had argentinian pizza before so we grabbed our lunch there , sharing a large pelligrino , a pizza of two of their specials , one was goat cheese the other $t$ , and both were excellent .",34,1
cosmopolitan,the ' kamasutra ' and ' bombay $t$ ' are excellent and will have you tipsy in no time .,7,1
date spot,this is the perfect $t$ for williamsburg couples .,4,1
dim sum,the $t$ here is only so - so .,1,0
food,"$6 and there is much tasty $t$ , all of it fresh and continually refilled .",6,1
food,"just straight up cheap , good $t$ .",6,1
seating,$t$ is ok even though sometimes there ' s alot of people .,0,0
cost,"even with a relatively inexpensive botle of wine , if you can call $70 . 00 inexpensive , the $t$ is through the roof for better than average fare .",19,-1
service,"$t$ was slow , but the people were friendly .",0,-1
people,"service was slow , but the $t$ were friendly .",6,1
steak,the $t$ was very fatty and the sauce was overpowering and not very tasty .,1,-1
sauce,the steak was very fatty and the $t$ was overpowering and not very tasty .,7,-1
staff,"the $t$ makes you feel at home , the food is great and the atmosphere is wonderful !",1,1
food,"the staff makes you feel at home , the $t$ is great and the atmosphere is wonderful !",9,1
atmosphere,"the staff makes you feel at home , the food is great and the $t$ is wonderful !",14,1
steak dish,the food is alright - some stuff is good - some is not ( like the $t$ which tends to be dry ) .,16,-1
menu,they have a very diverse $t$ so its something for everybody .,5,1
staff,the $t$ was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check .,1,-1
sushi,the staff was too busy ordering $t$ for dinner and then laying it out to eat on the bar to even bring me my check .,6,0
dinner,the staff was too busy ordering sushi for $t$ and then laying it out to eat on the bar to even bring me my check .,8,0
bar,the staff was too busy ordering sushi for dinner and then laying it out to eat on the $t$ to even bring me my check .,18,0
check,the staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my $t$ .,24,0
food spot,"as a long - time patron of mamoun ' s , i always figured that i had found the best late night $t$ in the city .",22,1
bagel,the $t$ was huge .,1,0
tuna,get the $t$ of gari .,2,1
somosas,"i like the $t$ , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",3,1
chai,"i like the somosas , $t$ , and the chole , but the dhosas and dhal were kinda dissapointing .",5,1
chole,"i like the somosas , chai , and the $t$ , but the dhosas and dhal were kinda dissapointing .",9,1
dhosas,"i like the somosas , chai , and the chole , but the $t$ and dhal were kinda dissapointing .",13,-1
dhal,"i like the somosas , chai , and the chole , but the dhosas and $t$ were kinda dissapointing .",15,-1
prices,edible but really a ripoff at those $t$ given whats in the area .,7,-1
bathroom,"the staff has been nice , but they seemed really stressed and the unisex $t$ needs to be cleaned more often .",14,-1
service,the $t$ was the only thing good about this restaurant .,1,1
service,$t$ friendly and attentive .,0,1
food,"great $t$ , great decor , great service .",1,1
decor,"great food , great $t$ , great service .",4,1
service,"great food , great decor , great $t$ .",7,1
tables,"and , atlhough $t$ opened up next to us and we asked for a slightly larger space , they left us awkardly seated .",3,0
space,"and , atlhough tables opened up next to us and we asked for a slightly larger $t$ , they left us awkardly seated .",16,0
palak paneer,"the $t$ was standard , and i was not a fan of the malai kofta .",1,0
malai kofta,"the palak paneer was standard , and i was not a fan of the $t$ .",14,0
price,i ' ve dined at alain ducasse ' s restaurant in monte carlo for half the $t$ for the same excellent dining experience .,16,1
dining,i ' ve dined at alain ducasse ' s restaurant in monte carlo for half the price for the same excellent $t$ experience .,21,1
service,"yeah , sometimes the $t$ can be slow .",4,-1
ambiance,there was no $t$ .,3,-1
food,"save your money and don ' t waste your calories , go to margharita ' s on washington street instead , they have amazing $t$ and the best service .",24,1
service,"save your money and don ' t waste your calories , go to margharita ' s on washington street instead , they have amazing food and the best $t$ .",28,1
service,the $t$ was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura .,1,1
dish,the service was attentive without being overbearing and each $t$ we tried was wonderful from the spring rolls to the cod with pineapple tempura .,9,1
spring rolls,the service was attentive without being overbearing and each dish we tried was wonderful from the $t$ to the cod with pineapple tempura .,16,1
cod with pineapple tempura,the service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the $t$ .,20,1
bottle,"the only weird thing was if we got a $t$ , the waitress would have simply multiplied the glass price x4 , which makes no sense whatsoever .",9,0
waitress,"the only weird thing was if we got a bottle , the $t$ would have simply multiplied the glass price x4 , which makes no sense whatsoever .",12,-1
price,"the only weird thing was if we got a bottle , the waitress would have simply multiplied the glass $t$ x4 , which makes no sense whatsoever .",19,-1
sushi,"they sell special $t$ , everything have a topping , sauce and etc .",3,1
topping,"they sell special sushi , everything have a $t$ , sauce and etc .",8,1
sauce,"they sell special sushi , everything have a topping , $t$ and etc .",10,1
taste,do not try unless you ' re just going there to hang out like the rest of the hipsters who apparently have no sense of $t$ .,25,-1
place,"the $t$ is small and intimate and you may feel a little crowded , but the service is excellent and it ' s great for friends out , a romantic date , or a special occassion .",1,-1
service,"the place is small and intimate and you may feel a little crowded , but the $t$ is excellent and it ' s great for friends out , a romantic date , or a special occassion .",16,1
service,the $t$ was excellent and the food was delicious .,1,1
food,the service was excellent and the $t$ was delicious .,6,1
service,$t$ was also very good .,0,1
meal,"i took my girlfriend there for her birthday last night and we had a relaxing , really good $t$ .",18,1
portions,"i would not have been so disappointed with the $t$ if the qualities were good enough to make up for it , but they were not !",9,-1
qualities,"i would not have been so disappointed with the portions if the $t$ were good enough to make up for it , but they were not !",12,-1
food,i ' m happy to have nosh in the neighborhood and the $t$ is very comforting .,12,1
atmosphere,"good $t$ , combination of all the hottest music dress code is relatively strict except on fridays .",1,1
music dress code,"good atmosphere , combination of all the hottest $t$ is relatively strict except on fridays .",8,-1
food,love the $t$ .,2,1
dinner,i would highly recommend nina ' s to anyone who wants to have a romantic $t$ in a heart warming surrounding filled with candles and family pictures .,15,1
surrounding,i would highly recommend nina ' s to anyone who wants to have a romantic dinner in a heart warming $t$ filled with candles and family pictures .,20,1
candles,i would highly recommend nina ' s to anyone who wants to have a romantic dinner in a heart warming surrounding filled with $t$ and family pictures .,23,1
pictures,i would highly recommend nina ' s to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family $t$ .,26,1
desserts,all the $t$ the group tried got favorable reviews .,2,1
sake,there ' s something smooth about sipping $t$ upper east side style .,7,1
place,it ' s a nice $t$ to relax and have conversation .,5,1
reuben sandwich,best $t$ ever !,1,1
place,lucky strike is a great casual $t$ to just grab a bite to eat .,6,1
strawberry daiquiries,wonderful $t$ as well !,1,1
dinner,"going to volare is like going to your favorite aunt ' s house for $t$ , assuming that your aunt is a great italian cook .",14,0
sushi,"the $t$ has been from average to below average , the wait service has always been sub - par the atmosphere goes from nice to really irritating ( if you sit in the area beyond the kitchen , the acousitcs are horrid , everything echoes is extremely loud ) .",1,-1
wait service,"the sushi has been from average to below average , the $t$ has always been sub - par the atmosphere goes from nice to really irritating ( if you sit in the area beyond the kitchen , the acousitcs are horrid , everything echoes is extremely loud ) .",11,-1
area,"the sushi has been from average to below average , the wait service has always been sub - par the atmosphere goes from nice to really irritating ( if you sit in the $t$ beyond the kitchen , the acousitcs are horrid , everything echoes is extremely loud ) .",33,-1
frites,$t$ were delicious if a bit on the thick side .,0,1
zen feel,here you get the $t$ without feeling rigid .,4,1
drink,i would recommend putting your name down and then getting a $t$ at a local bar first though because of the wait time .,11,0
bar,i would recommend putting your name down and then getting a drink at a local $t$ first though because of the wait time .,15,0
wait time,i would recommend putting your name down and then getting a drink at a local bar first though because of the $t$ .,21,-1
egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork,i fell in love with the $t$ .,6,1
table,i keep my fingers crossed the whole subway ride hoping that there will be a $t$ i can sit at by myself and not have to share with the rice congee soup people .,15,0
rice congee soup,i keep my fingers crossed the whole subway ride hoping that there will be a table i can sit at by myself and not have to share with the $t$ people .,29,0
bagel,"overall , the best $t$ in town .",4,1
